Model,AUC Train,AUC Test,Accuracy Train,Accuracy Test,BIC,N. Features,Functional form,Loss
0,0.82,0.62,0.73,0.6,195.82,4,logreg(EIF6 + MLLT10 + RPL23AP72 + TRPC4),0.5152207510880195
1,0.8,0.62,0.73,0.59,198.72,3,logreg(MLLT10 + SHLD3 + ZNF334),0.5382603789953224
2,0.8,0.57,0.74,0.57,199.4,3,logreg(MLLT10 + RPL23AP72 + ZNF334),0.5401993691622804
3,0.77,0.77,0.68,0.64,200.48,2,logreg(MLLT10 + 1/ph),0.5432902373038756
4,0.8,0.63,0.73,0.62,201.06,3,logreg(MLLT10 + RPL23AP72 + STIM2),0.5449487350787618
5,0.81,0.64,0.74,0.6,201.13,4,logreg(MLLT10 + RPL23AP72 + SERPINI2 + STIM2),0.5303946673411759
6,0.79,0.57,0.73,0.52,201.88,3,logreg(MLLT10 + RPL23AP72 + USP9Y),0.5472988409523969
7,0.81,0.64,0.77,0.62,201.98,4,logreg(MLLT10 + RPL23AP72 + SERPINI2 + STIM2),0.5328262661495013
8,0.8,0.61,0.71,0.61,202.16,3,logreg(MLLT10 + RPL23AP72 + SERPINI2),0.5480971328745713
9,0.78,0.58,0.71,0.57,202.59,2,logreg(MLLT10 + RPL23AP72),0.5640658112255041
